day	hour	value
1	1	7
1	2	7
1	3	7
1	4	7
1	5	7
1	6	7
1	7	7
1	8	7
1	9	7
1	10	7
1	11	7
1	12	7
1	13	7
1	14	7
1	15	7
1	16	7
1	17	7
1	18	7
1	19	7
1	20	7
1	21	7
1	22	7
1	23	7
1	24	7
2	1	7
2	2	7
2	3	7
2	4	7
2	5	7
2	6	7
2	7	7
2	8	7
2	9	7
2	10	7
2	11	7
2	12	7
2	13	7
2	14	7
2	15	7
2	16	7
2	17	7
2	18	7
2	19	7
2	20	7
2	21	7
2	22	7
2	23	7
2	24	1
3	1	5
3	2	5
3	3	5
3	4	5
3	5	5
3	6	5
3	7	5
3	8	5
3	9	5
3	10	5
3	11	5
3	12	5
3	13	5
3	14	5
3	15	5
3	16	5
3	17	5
3	18	5
3	19	5
3	20	5
3	21	5
3	22	5
3	23	5
3	24	1
4	1	7
4	2	7
4	3	7
4	4	7
4	5	7
4	6	7
4	7	7
4	8	7
4	9	7
4	10	7
4	11	7
4	12	7
4	13	7
4	14	7
4	15	7
4	16	7
4	17	7
4	18	7
4	19	7
4	20	7
4	21	7
4	22	7
4	23	7
4	24	7
5	1	7
5	2	7
5	3	7
5	4	7
5	5	7
5	6	7
5	7	7
5	8	7
5	9	7
5	10	7
5	11	7
5	12	7
5	13	7
5	14	7
5	15	7
5	16	7
5	17	7
5	18	7
5	19	7
5	20	7
5	21	7
5	22	7
5	23	7
5	24	7
6	1	7
6	2	7
6	3	7
6	4	7
6	5	7
6	6	1
6	7	1
6	8	1
6	9	7
6	10	7
6	11	7
6	12	7
6	13	7
6	14	7
6	15	7
6	16	7
6	17	7
6	18	7
6	19	7
6	20	7
6	21	7
6	22	7
6	23	7
6	24	7
7	1	7
7	2	7
7	3	7
7	4	7
7	5	7
7	6	1
7	7	1
7	8	1
7	9	7
7	10	7
7	11	7
7	12	7
7	13	7
7	14	7
7	15	7
7	16	7
7	17	7
7	18	7
7	19	7
7	20	7
7	21	7
7	22	7
7	23	7
7	24	1
8	1	7
8	2	7
8	3	7
8	4	7
8	5	7
8	6	1
8	7	1
8	8	1
8	9	7
8	10	7
8	11	7
8	12	7
8	13	7
8	14	7
8	15	7
8	16	7
8	17	7
8	18	7
8	19	7
8	20	7
8	21	7
8	22	7
8	23	7
8	24	7
9	1	7
9	2	7
9	3	7
9	4	7
9	5	7
9	6	1
9	7	1
9	8	1
9	9	7
9	10	7
9	11	7
9	12	7
9	13	7
9	14	7
9	15	7
9	16	7
9	17	7
9	18	7
9	19	7
9	20	7
9	21	7
9	22	7
9	23	7
9	24	7
10	1	7
10	2	7
10	3	7
10	4	7
10	5	7
10	6	7
10	7	7
10	8	7
10	9	7
10	10	1
10	11	1
10	12	2
10	13	2
10	14	2
10	15	2
10	16	2
10	17	2
10	18	4
10	19	7
10	20	7
10	21	7
10	22	7
10	23	7
10	24	1
11	1	7
11	2	7
11	3	7
11	4	7
11	5	7
11	6	7
11	7	7
11	8	7
11	9	7
11	10	7
11	11	7
11	12	7
11	13	7
11	14	7
11	15	7
11	16	7
11	17	7
11	18	7
11	19	7
11	20	7
11	21	7
11	22	7
11	23	7
11	24	7
12	1	7
12	2	7
12	3	7
12	4	7
12	5	7
12	6	7
12	7	7
12	8	7
12	9	7
12	10	7
12	11	7
12	12	7
12	13	7
12	14	7
12	15	7
12	16	7
12	17	7
12	18	7
12	19	7
12	20	7
12	21	7
12	22	7
12	23	7
12	24	1
13	1	7
13	2	7
13	3	7
13	4	7
13	5	7
13	6	1
13	7	1
13	8	1
13	9	7
13	10	7
13	11	7
13	12	7
13	13	7
13	14	7
13	15	7
13	16	7
13	17	7
13	18	7
13	19	7
13	20	7
13	21	7
13	22	7
13	23	7
13	24	7
14	1	7
14	2	7
14	3	7
14	4	7
14	5	7
14	6	1
14	7	1
14	8	1
14	9	7
14	10	7
14	11	7
14	12	7
14	13	7
14	14	7
14	15	7
14	16	7
14	17	7
14	18	7
14	19	7
14	20	4
14	21	7
14	22	7
14	23	7
14	24	1
15	1	2
15	2	2
15	3	2
15	4	2
15	5	2
15	6	2
15	7	2
15	8	2
15	9	2
15	10	2
15	11	2
15	12	2
15	13	2
15	14	2
15	15	2
15	16	2
15	17	2
15	18	2
15	19	2
15	20	2
15	21	2
15	22	2
15	23	2
15	24	2
16	1	7
16	2	7
16	3	2
16	4	1
16	5	1
16	6	1
16	7	1
16	8	1
16	9	7
16	10	7
16	11	7
16	12	7
16	13	7
16	14	7
16	15	7
16	16	7
16	17	7
16	18	7
16	19	7
16	20	7
16	21	7
16	22	7
16	23	7
16	24	7
17	1	7
17	2	7
17	3	1
17	4	1
17	5	1
17	6	1
17	7	1
17	8	1
17	9	7
17	10	7
17	11	7
17	12	7
17	13	7
17	14	7
17	15	7
17	16	7
17	17	7
17	18	7
17	19	7
17	20	7
17	21	7
17	22	7
17	23	7
17	24	1
18	1	7
18	2	7
18	3	7
18	4	7
18	5	7
18	6	7
18	7	7
18	8	7
18	9	7
18	10	7
18	11	7
18	12	7
