day	hour	value
1	1	7
1	2	7
1	3	7
1	4	7
1	5	7
1	6	7
1	7	7
1	8	7
1	9	7
1	10	7
1	11	7
1	12	7
1	13	7
1	14	7
1	15	1
1	16	1
1	17	1
1	18	1
1	19	1
1	20	1
1	21	1
1	22	1
1	23	1
1	24	1
2	1	7
2	2	7
2	3	7
2	4	7
2	5	7
2	6	7
2	7	7
2	8	7
2	9	7
2	10	7
2	11	7
2	12	7
2	13	7
2	14	7
2	15	1
2	16	1
2	17	1
2	18	1
2	19	1
2	20	1
2	21	1
2	22	1
2	23	1
2	24	1
3	1	5
3	2	5
3	3	5
3	4	5
3	5	5
3	6	5
3	7	5
3	8	5
3	9	5
3	10	5
3	11	5
3	12	5
3	13	5
3	14	5
3	15	1
3	16	1
3	17	1
3	18	1
3	19	1
3	20	1
3	21	1
3	22	1
3	23	1
3	24	1
4	1	7
4	2	7
4	3	7
4	4	7
4	5	7
4	6	7
4	7	7
4	8	7
4	9	7
4	10	7
4	11	7
4	12	7
4	13	7
4	14	7
4	15	1
4	16	1
4	17	1
4	18	1
4	19	1
4	20	1
4	21	1
4	22	1
4	23	1
4	24	1
5	1	7
5	2	7
5	3	7
5	4	7
5	5	7
5	6	7
5	7	7
5	8	7
5	9	7
5	10	7
5	11	7
5	12	7
5	13	7
5	14	7
5	15	1
5	16	1
5	17	1
5	18	1
5	19	1
5	20	1
5	21	1
5	22	1
5	23	1
5	24	1
6	1	7
6	2	7
6	3	7
6	4	7
6	5	7
6	6	7
6	7	7
6	8	1
6	9	7
6	10	7
6	11	7
6	12	7
6	13	7
6	14	7
6	15	1
6	16	1
6	17	1
6	18	1
6	19	1
6	20	1
6	21	1
6	22	1
6	23	1
6	24	1
7	1	7
7	2	7
7	3	7
7	4	7
7	5	7
7	6	7
7	7	7
7	8	1
7	9	7
7	10	7
7	11	7
7	12	7
7	13	7
7	14	7
7	15	1
7	16	1
7	17	1
7	18	1
7	19	1
7	20	1
7	21	1
7	22	1
7	23	1
7	24	1
8	1	7
8	2	7
8	3	7
8	4	7
8	5	7
8	6	7
8	7	7
8	8	1
8	9	7
8	10	7
8	11	7
8	12	7
8	13	7
8	14	7
8	15	1
8	16	1
8	17	1
8	18	1
8	19	1
8	20	1
8	21	1
8	22	1
8	23	1
8	24	1
9	1	7
9	2	7
9	3	7
9	4	7
9	5	7
9	6	7
9	7	7
9	8	1
9	9	7
9	10	7
9	11	7
9	12	7
9	13	7
9	14	7
9	15	1
9	16	1
9	17	1
9	18	1
9	19	1
9	20	1
9	21	1
9	22	1
9	23	1
9	24	1
10	1	7
10	2	7
10	3	7
10	4	7
10	5	7
10	6	7
10	7	7
10	8	1
10	9	7
10	10	2
10	11	2
10	12	2
10	13	2
10	14	2
10	15	1
10	16	1
10	17	1
10	18	1
10	19	1
10	20	1
10	21	1
10	22	1
10	23	1
10	24	1
11	1	7
11	2	7
11	3	7
11	4	7
11	5	7
11	6	7
11	7	7
11	8	1
11	9	7
11	10	7
11	11	7
11	12	7
11	13	7
11	14	7
11	15	1
11	16	1
11	17	1
11	18	1
11	19	1
11	20	1
11	21	1
11	22	1
11	23	1
11	24	1
12	1	7
12	2	7
12	3	7
12	4	7
12	5	7
12	6	7
12	7	7
12	8	1
12	9	7
12	10	7
12	11	7
12	12	7
12	13	7
12	14	7
12	15	1
12	16	1
12	17	1
12	18	1
12	19	1
12	20	1
12	21	1
12	22	1
12	23	1
12	24	1
13	1	7
13	2	7
13	3	7
13	4	7
13	5	7
13	6	7
13	7	7
13	8	1
13	9	7
13	10	7
13	11	7
13	12	7
13	13	7
13	14	7
13	15	1
13	16	1
13	17	1
13	18	1
13	19	1
13	20	1
13	21	1
13	22	1
13	23	1
13	24	1
14	1	7
14	2	7
14	3	7
14	4	7
14	5	7
14	6	7
14	7	7
14	8	1
14	9	7
14	10	4
14	11	7
14	12	7
14	13	7
14	14	7
14	15	1
14	16	1
14	17	1
14	18	1
14	19	1
14	20	1
14	21	1
14	22	1
14	23	1
14	24	1
15	1	2
15	2	2
15	3	2
15	4	2
15	5	2
15	6	2
15	7	2
15	8	1
15	9	2
15	10	2
15	11	2
15	12	2
15	13	2
15	14	2
15	15	1
15	16	1
15	17	1
15	18	1
15	19	1
15	20	1
15	21	1
15	22	1
15	23	1
15	24	1
16	1	7
16	2	7
16	3	7
16	4	7
16	5	7
16	6	7
16	7	7
16	8	1
16	9	7
16	10	7
16	11	7
16	12	7
16	13	7
16	14	7
16	15	1
16	16	1
16	17	1
16	18	1
16	19	1
16	20	1
16	21	1
16	22	1
16	23	1
16	24	1
17	1	7
17	2	7
17	3	7
17	4	7
17	5	7
17	6	7
17	7	7
17	8	1
17	9	7
17	10	7
17	11	7
17	12	7
17	13	7
17	14	7
17	15	1
17	16	1
17	17	1
17	18	1
17	19	1
17	20	1
17	21	1
17	22	1
17	23	1
17	24	1
18	1	7
18	2	7
18	3	7
18	4	7
18	5	7
18	6	7
18	7	7
18	8	1
18	9	7
18	10	7
18	11	7
18	12	7
